Accrued Expense,Adopted,Agency,Budget Code,Budget Name,Cash Expense,Committed,Department,Encumbered,Expense Category,Modified,Post Adjustments,Pre-Encumbered,Year
0.00,2055738.00,Department of Education,4648,GE Central Managed Sch Supp,20653639.61,20653639.61,GE INSTR & SCH LEADERSHIP - PS,0.00,PARAPROFESSIONAL PER SESSION,2058738.00,0.00,0.00,2023
0.00,2037975.00,Department of Education,8807,UPK DOE CENTRAL,1229059.16,1289443.21,UNIVERSAL PRE-K - OTPS,0.00,PROF SERV COMPUTER SERVICES,2037975.00,60384.05,0.00,2023
0.00,2000788.00,Department of Education,2641,TEACHING & LEARNING,3508.71,3508.71,SCHOOL SUPPORT ORGANIZATION,0.00,PARAPROFESSIONAL PER SESSION,2000788.00,0.00,0.00,2023
0.00,2000000.00,Department of Education,8848,REIMBUR SUPPORT-SE INSTRUCTION EL/MID/HS,1299046.21,1299046.21,CATEGORICAL PROGRAMS - PS,0.00,UNEMPLOYMENT INSURANCE,2000000.00,0.00,0.00,2023
846.88,2000000.00,Department of Education,1731,PROGRAM MANAGMENT & CONTRACT MAINTENANCE,154426.07,155272.95,SCHOOL FACILITIES - OTPS,0.00,TEMPORARY SERVICES,2000000.00,0.00,0.00,2023
0.00,2000000.00,Department of Education,P435,FINANCIAL PLAN SAVINGS,0.00,0.00,SCHOOL FACILITIES - PS,0.00,CUSTODIAL ALLOWANCES,2000000.00,0.00,0.00,2023
0.00,2000000.00,Department of Education,4320,BEFORE/AFTR SCH TIME & EXTEND - ELEM/MID,535.00,535.00,GE INSTR & SCH LEADERSHIP - OTPS,0.00,DATA PROCESSING EQUIPMENT,2000000.00,0.00,0.00,2023
0.00,0.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,14882.10,14882.10,CATEGORICAL PROGRAMS - PS,0.00,BONUS PAYMENTS,1981388.00,0.00,0.00,2023
0.00,1967233.00,Department of Education,2646,Field-Based Supervision and Support,1206533.28,1206533.28,SCHOOL SUPPORT ORGANIZATION,0.00,FULL YEAR POSITIONS,1967233.00,0.00,0.00,2023
0.00,1954424.00,Department of Education,4325,SUMMER INSTRUCTIONAL PROGRAMS - ELM/MID,2099636.77,2099636.77,GE INSTR & SCH LEADERSHIP - PS,0.00,UNSALARIED,1954424.00,0.00,0.00,2023
0.00,1939793.00,Department of Education,8907,UPK DOE FIELD,19484.73,19484.73,UNIVERSAL PRE-K - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,1939793.00,0.00,0.00,2023
0.00,0.00,Department of Education,4605,INSTRUCTIONAL SUPPORT SERVICES - HS,2200301.63,2200301.63,GE INSTR & SCH LEADERSHIP - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,1927441.00,0.00,0.00,2023
0.00,2503798.00,Department of Education,4305,INSTRUCTIONAL SUPPORT SERV - ELEM / MID,40974.21,40974.21,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV OTHER,1927416.00,0.00,0.00,2023
0.00,1923778.00,Department of Education,1229,DIRECT FIELD OPERATIONS,200785.71,341295.94,SCHOOL FOOD SERVICES - OTPS,0.00,TEMPORARY SERVICES,1923778.00,140510.23,0.00,2023
0.00,1916913.00,Department of Education,5183,TL Match for Chp 683,3732526.82,3732526.82,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,UNSALARIED,1916913.00,0.00,0.00,2023
0.00,1866271.00,Department of Education,7205,OFFICE OF PUBLIC AFFAIRS,2492514.49,2492514.49,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,1866271.00,0.00,0.00,2023
0.00,1858171.00,Department of Education,4662,PSAL,738268.38,738268.38,GE INSTR & SCH LEADERSHIP - OTPS,0.00,EDUCATION & REC FOR YOUTH PRGM,1858171.00,0.00,0.00,2023
0.00,1828385.00,Department of Education,1720,DIVISION OF SCHOOL FACILITIES,1050284.97,1050284.97,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,1828385.00,0.00,0.00,2023
0.00,1826101.00,Department of Education,8827,PRE-K FOR THREE-YEAR-OLDS CENTRAL,0.00,0.00,UNIVERSAL PRE-K - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,1826101.00,0.00,0.00,2023
0.00,1826058.00,Department of Education,7701,DIVISION OF FINANCE OPERATIONS,954747.42,954747.42,CENTRAL ADMINISTRATION - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,1826058.00,0.00,0.00,2023
36063.75,1818924.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,2081709.26,2117773.01,CATEGORICAL PROGRAMS - OTPS,0.00,LIBRARY BOOKS,1818924.00,0.00,0.00,2023
0.00,1805756.00,Department of Education,8848,REIMBUR SUPPORT-SE INSTRUCTION EL/MID/HS,401402.52,401402.52,CATEGORICAL PROGRAMS - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,1805756.00,0.00,0.00,2023
0.00,1801695.00,Department of Education,8907,UPK DOE FIELD,1654847.25,1654847.25,UNIVERSAL PRE-K - PS,0.00,SOCIAL SECURITY CONTRIBUTIONS,1801695.00,0.00,0.00,2023
0.00,1785735.00,Department of Education,4301,GE INST & SCHOOL SUPERVISION ELE/MIDDLE,1002573.32,1002573.32,GE INSTR & SCH LEADERSHIP - PS,0.00,OVERTIME,1785735.00,0.00,0.00,2023
0.00,1785488.00,Department of Education,8844,REIMBURSEABLE SUPPORT - INDIRECT COST,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,TELEPHONE & OTHER COMMUNICATNS,1785488.00,0.00,0.00,2023
496118.69,1758274.00,Department of Education,4648,GE Central Managed Sch Supp,3286390.50,3782509.19,GE INSTR & SCH LEADERSHIP - OTPS,0.00,EQUIPMENT GENERAL,1758274.00,0.00,0.00,2023
0.00,1754245.00,Department of Education,7719,DIIT,239466.68,239466.68,CENTRAL ADMINISTRATION - OTPS,0.00,TELECOMMUNICATIONS MAINT,1754245.00,0.00,0.00,2023
0.00,3500000.00,Office of Administrative Trials & Hearings,2005,Special Education Unit,0.00,0.00,OFFICE OF ADMIN. TRIALS & HEARINGS- OTPS,0.00,PROF SERV OTHER,1753195.00,0.00,0.00,2023
0.00,1748386.00,Department of Education,7239,Office of Field Support,2466685.94,2466685.94,CENTRAL ADMINISTRATION - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,1748386.00,0.00,0.00,2023
0.00,1730000.00,Department of Education,5111,RELATED SERVICES - CITYWIDE SPECIAL EDUC,1957079.60,1957079.60,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,EDUC AND LICENCE DIFFERENTIAL,1730000.00,0.00,0.00,2023
0.00,1723171.00,Department of Education,1102,SIRT SUBSIDY,1182731.00,1182731.00,PUPIL TRANSPORTATION - OTPS,0.00,TRANSPORTATION OF PUPILS,1723171.00,0.00,0.00,2023
67302.99,1722379.00,Department of Education,C481,CRRSA for Schools,726831.06,794134.05,CATEGORICAL PROGRAMS - OTPS,0.00,TRANSPORTATION OF PUPILS,1722379.00,0.00,0.00,2023
48.49,0.00,Department of Education,4648,GE Central Managed Sch Supp,1472408.51,1472457.00,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV ACCTING & AUDITING,1700000.00,0.00,0.00,2023
0.00,1682002.00,Department of Education,8844,REIMBURSEABLE SUPPORT - INDIRECT COST,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,PROF SERV COMPUTER SERVICES,1682002.00,0.00,0.00,2023
0.00,4120999.00,Department of Education,1108,GENERAL EDUCATION BUSES,186714.66,206715.66,PUPIL TRANSPORTATION - OTPS,0.00,EQUIPMENT GENERAL,1677088.00,20001.00,0.00,2023
0.00,1673768.00,Department of Education,7260,Portfolio Planning,1983438.80,1983438.80,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,1673768.00,0.00,0.00,2023
0.00,1668251.00,Department of Education,2671,P311,1345975.72,1345975.72,SCHOOL SUPPORT ORGANIZATION,0.00,FULL YEAR POSITIONS,1668251.00,0.00,0.00,2023
0.00,1660084.00,Department of Education,2641,TEACHING & LEARNING,1651719.99,1651719.99,SCHOOL SUPPORT ORGANIZATION,0.00,FULL YEAR POSITIONS,1660084.00,0.00,0.00,2023
0.00,1656610.00,Department of Education,5483,TL Match for Chp 683,1374035.72,1374035.72,SE INSTRUCTIONAL SUPPORT -  OTPS,0.00,PROF SERV DIRECT EDUC SERV,1656610.00,0.00,0.00,2023
0.00,1651335.00,Department of Education,8489,GE Reimbursable Support,1517044.84,1517044.84,GE INSTR & SCH LEADERSHIP - PS,0.00,UNEMPLOYMENT INSURANCE,1651335.00,0.00,0.00,2023
0.00,487411.00,Department of Education,8888,REIMBUR SUP-CENTL SCH SUP PROG & SERV,855918.66,856263.49,CATEGORICAL PROGRAMS - OTPS,0.00,EQUIPMENT GENERAL,1650354.00,344.83,0.00,2023
0.00,1644075.00,Department of Education,7785,OFFICE OF IMPARTIAL HEARINGS,3691485.67,3691485.67,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,1644075.00,0.00,0.00,2023
0.00,1628078.00,Department of Education,7271,New Schools and Charter Partnerships,1654247.03,1654247.03,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,1628078.00,0.00,0.00,2023
0.00,1306837.00,Department of Education,8707,UPK DOE SCHOOLS/NYCEEC,20689704.27,20689704.27,UNIVERSAL PRE-K - PS,0.00,UNSALARIED,1599475.00,0.00,0.00,2023
0.00,1595326.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,203866.73,203866.73,GE INSTR & SCH LEADERSHIP - OTPS,0.00,LIBRARY BOOKS,1595326.00,0.00,0.00,2023
0.00,1013000.00,Department of Education,8888,REIMBUR SUP-CENTL SCH SUP PROG & SERV,1452136.73,1452136.73,CATEGORICAL PROGRAMS - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,1577127.00,0.00,0.00,2023
0.00,1272316.00,Department of Education,4305,INSTRUCTIONAL SUPPORT SERV - ELEM / MID,524447.39,524447.39,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV DIRECT EDUC SERV,1571630.00,0.00,0.00,2023
0.00,1534499.00,Department of Education,7303,Strategic Coordination & Planning,94624.56,94624.56,CENTRAL ADMINISTRATION - OTPS,0.00,PROF SERV COMPUTER SERVICES,1534499.00,0.00,0.00,2023
0.00,531835.00,Department of Education,4620,BEFORE/AFTER SCH TIME & EXTEND USE - HS,1190312.11,1190326.01,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV DIRECT EDUC SERV,1531835.00,13.90,0.00,2023
0.00,1529368.00,Department of Education,7259,OFFICE OF LABOR RELATIONS,1546727.57,1546727.57,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,1529368.00,0.00,0.00,2023
117155.27,18000.00,Department of Education,5105,INSTRUCTIONAL SUPPORT SERVICES - CWSPED,1203081.06,1320236.33,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.00,EQUIPMENT GENERAL,1518000.00,0.00,0.00,2023
0.00,1516165.00,Department of Education,1733,SKILLED TRADES,7889203.74,7889203.74,SCHOOL FACILITIES - PS,0.00,OVERTIME,1516165.00,0.00,0.00,2023
0.00,1515894.00,Department of Education,5105,INSTRUCTIONAL SUPPORT SERVICES - CWSPED,1792236.34,1792236.34,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,PARAPROFESSIONAL PER SESSION,1515894.00,0.00,0.00,2023
0.00,1510635.00,Department of Education,7251,OSEPO,20951.68,20951.68,CENTRAL ADMINISTRATION - OTPS,0.00,PRINTING CONTRACTS,1510635.00,0.00,0.00,2023
0.00,1510528.00,Department of Education,8807,UPK DOE CENTRAL,0.00,0.00,UNIVERSAL PRE-K - OTPS,0.00,PRINTING CONTRACTS,1510528.00,0.00,0.00,2023
211955.19,1506635.00,Department of Education,7261,OFFICE OF AUDITOR GENERAL,31503.81,243459.00,CENTRAL ADMINISTRATION - OTPS,0.00,PROF SERV ACCTING & AUDITING,1506635.00,0.00,0.00,2023
0.00,1505050.00,Department of Education,1048,Office of School and Youth Development,2999764.71,2999764.71,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,1505050.00,0.00,0.00,2023
0.00,1500000.00,Department of Education,7315,RECRUITMENT,0.00,0.00,CENTRAL ADMINISTRATION - OTPS,0.00,PROF SERV COMPUTER SERVICES,1500000.00,0.00,0.00,2023
0.00,1500000.00,Department of Education,2644,SPECIAL EDUCATION ADMINISTRATION,19335.96,19335.96,SCHOOL SUPPORT ORGANIZATION,0.00,LONGEVITY DIFFERENTIAL,1500000.00,0.00,0.00,2023
0.00,1492114.00,Department of Education,8844,REIMBURSEABLE SUPPORT - INDIRECT COST,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,TEMPORARY SERVICES,1492114.00,0.00,0.00,2023
0.00,1477372.00,Department of Education,4625,SUMMER INSTRUCTIONAL PROGRAMS - HS,1937031.28,1937031.28,GE INSTR & SCH LEADERSHIP - PS,0.00,UNSALARIED,1477372.00,0.00,0.00,2023
0.00,0.00,Department of Education,1742,School Construction Authority,1518795.00,1518795.00,SCHOOL FACILITIES - OTPS,0.00,PROF SERV ENGINEER & ARCHITECT,1462909.00,0.00,0.00,2023
0.00,220000.00,Department of Information Technology and Telecommunications,9600,MOME -AI-WF Dev & Education,1369734.88,1369734.88,MAYOR'S OFFICE OF MEDIA & ENTERTAINMENT,0.00,CONTRACTUAL SERVICES GENERAL,1456348.00,0.00,0.00,2023
0.00,1431797.00,Department of Education,4901,SE CLASSROOM INSTRUCTION - HIGH SCHOOL,320293.40,320293.40,SE INSTR & SCH LEADERSHIP - PS,0.00,UNSALARIED,1431797.00,0.00,0.00,2023
0.00,1431236.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,883591.07,883591.07,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV OTHER,1431236.00,0.00,0.00,2023
0.00,1409581.00,Department of Education,7238,Special Education Initiatives,1861827.12,1861827.12,CENTRAL ADMINISTRATION - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,1409581.00,0.00,0.00,2023
18632.72,1419775.00,Department of Education,2129,NON-PUBLIC SCHOOL PAYMENTS,1517526.79,1536159.51,NPS & FIT PMTS - OTPS,0.00,LIBRARY BOOKS,1390049.00,0.00,0.00,2023
50074.22,1385623.00,Department of Education,5101,CLASSRM INST & SCH SUPERVISION - CWSPED,812376.48,862450.70,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.00,PROF SERV DIRECT EDUC SERV,1385623.00,0.00,0.00,2023
0.00,1380410.00,Department of Education,7247,Office of Capital and Finance,1754625.69,1754625.69,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,1380410.00,0.00,0.00,2023
0.00,1374587.00,Department of Education,6348,ARC CENTRAL ON BEHALF OF SCHOOLS,0.00,0.00,EARLY CHILDHOOD PROGRAMS- PS,0.00,PARAPROFESSIONAL PER SESSION,1374587.00,0.00,0.00,2023
0.00,15915417.00,Department of Education,2160,Supplemental School Connectivity,760584.56,760584.56,NPS & FIT PMTS - OTPS,0.00,EQUIPMENT GENERAL,1370364.00,0.00,0.00,2023
1402224.84,19370999.00,Department of Education,2150,Smart Schools Technology,643881.83,2046106.67,NPS & FIT PMTS - OTPS,0.00,EQUIPMENT GENERAL,1367091.00,0.00,0.00,2023
0.00,1489040.00,Department of Education,6101,ULIT FIELD,0.00,0.00,EARLY CHILDHOOD PROGRAMS - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,1360330.00,0.00,0.00,2023
0.00,1805000.00,Department of Education,6148,ULIT CENTRAL ON BEHALF OF SCHOOLS,-110.00,-110.00,EARLY CHILDHOOD PROGRAMS - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,1354560.00,0.00,0.00,2023
0.00,1330384.00,Department of Education,8489,GE Reimbursable Support,1188650.29,1188650.29,GE INSTR & SCH LEADERSHIP - PS,0.00,ANNUITY CONTRIBUTIONS,1330384.00,0.00,0.00,2023
0.00,1300000.00,Department of Education,5111,RELATED SERVICES - CITYWIDE SPECIAL EDUC,1517012.26,1517012.26,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,OVERTIME,1300000.00,0.00,0.00,2023
185406.19,1299041.00,Department of Education,4301,GE INST & SCHOOL SUPERVISION ELE/MIDDLE,1390925.97,1576332.16,GE INSTR & SCH LEADERSHIP - OTPS,0.00,TRANSPORTATION OF PUPILS,1299041.00,0.00,0.00,2023
0.00,1278363.00,Department of Education,4648,GE Central Managed Sch Supp,0.00,0.00,GE INSTR & SCH LEADERSHIP - OTPS,0.00,CONTRACTUAL SERVICES GENERAL,1278363.00,0.00,0.00,2023
0.00,0.00,Department of Education,8870,REIMBURSEABLE SUPPORT - NPS,23065.48,23065.48,CATEGORICAL PROGRAMS - OTPS,0.00,PROF SERV OTHER,1272976.00,0.00,0.00,2023
0.00,1269776.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,999750.39,999750.39,GE INSTR & SCH LEADERSHIP - PS,0.00,LONGEVITY DIFFERENTIAL,1269776.00,0.00,0.00,2023
0.00,1195000.00,Department of Education,5111,RELATED SERVICES - CITYWIDE SPECIAL EDUC,966.00,966.00,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.00,EQUIPMENT GENERAL,1195000.00,0.00,0.00,2023
28919.03,1192525.00,Department of Education,5101,CLASSRM INST & SCH SUPERVISION - CWSPED,293107.59,322026.62,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.00,PROF SERV CURRIC & PROF DEVEL,1192525.00,0.00,0.00,2023
0.00,1180026.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,236587.94,236587.94,CATEGORICAL PROGRAMS - OTPS,0.00,TELEPHONE & OTHER COMMUNICATNS,1180026.00,0.00,0.00,2023
0.00,1166943.00,Department of Education,7214,Deputy Chancellor of Finance and Techn,676020.59,676020.59,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,1166943.00,0.00,0.00,2023
0.00,1166185.00,Department of Education,5411,RELATED SERVICES -CENTRALLY ADMINISTERED,1414997.86,1414997.86,SE INSTRUCTIONAL SUPPORT - PS,0.00,PARAPROFESSIONAL PER SESSION,1166185.00,0.00,0.00,2023
0.00,1165000.00,Department of Education,1229,DIRECT FIELD OPERATIONS,1192206.91,1192206.91,SCHOOL FOOD SERVICES - PS,0.00,LONGEVITY DIFFERENTIAL,1165000.00,0.00,0.00,2023
20800.00,1161144.00,Department of Education,2641,TEACHING & LEARNING,255741.00,276541.00,SCHOOL SUPPORT ORGANIZATION OTPS,0.00,PROF SERV DIRECT EDUC SERV,1161144.00,0.00,0.00,2023
0.00,1158556.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,12150640.76,12150640.76,GE INSTR & SCH LEADERSHIP - PS,0.00,BACKPAY - PRIOR YEARS,1158556.00,0.00,0.00,2023
0.00,1155000.00,Department of Education,8848,REIMBUR SUPPORT-SE INSTRUCTION EL/MID/HS,1058064.77,1058064.77,CATEGORICAL PROGRAMS - PS,0.00,LONGEVITY DIFFERENTIAL,1155000.00,0.00,0.00,2023
0.00,1154741.00,Department of Education,1229,DIRECT FIELD OPERATIONS,5729264.29,6035530.49,SCHOOL FOOD SERVICES - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,1154741.00,306266.20,0.00,2023
0.00,1152915.00,Department of Education,8807,UPK DOE CENTRAL,408921.85,408921.85,UNIVERSAL PRE-K - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,1152915.00,0.00,0.00,2023
12721.50,1151871.00,Department of Education,C481,CRRSA for Schools,296627.63,309349.13,CATEGORICAL PROGRAMS - OTPS,0.00,BOOKS-OTHER,1151871.00,0.00,0.00,2023
0.00,1132679.00,Department of Education,8870,REIMBURSEABLE SUPPORT - NPS,0.00,0.00,CATEGORICAL PROGRAMS - PS,0.00,FULL YEAR POSITIONS,1132679.00,0.00,0.00,2023
350646.10,1131379.00,Department of Youth and Community Development,3623,RHY HUD,780732.90,1131379.00,OTHER THAN PERSONAL SERVICES,0.00,EDUCATION & REC FOR YOUTH PRGM,1131379.00,0.00,0.00,2023
0.00,1127021.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,1647091.52,1647091.52,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV CURRIC & PROF DEVEL,1127021.00,0.00,0.00,2023
0.00,1124855.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,125800.82,125800.82,CATEGORICAL PROGRAMS - OTPS,0.00,DATA PROCESSING EQUIPMENT,1124855.00,0.00,0.00,2023
0.00,1119077.00,Department of Education,8918,PRE-K FOR THREE-YEAR-OLDS FIELD,19372646.76,19372646.76,UNIVERSAL PRE-K - PS,0.00,HEALTH INSURANCE PLAN CITY EMP,1119077.00,0.00,0.00,2023
31024.01,1111932.00,Department of Education,4801,SE CLASSROOM INSTRUCTION - E/M,1318064.34,1349088.35,SE INSTR & SCH LEADERSHIP -OTPS,0.00,PROF SERV CURRIC & PROF DEVEL,1111932.00,0.00,0.00,2023
0.00,1106921.00,Department of Education,8907,UPK DOE FIELD,0.00,0.00,UNIVERSAL PRE-K - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,1106921.00,0.00,0.00,2023
0.00,1105903.00,Department of Education,2647,COMMITTEE ON SPECIAL EDUCATION,514405.75,514405.75,SCHOOL SUPPORT ORGANIZATION OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,1105903.00,0.00,0.00,2023
0.00,1105147.00,Department of Education,5183,TL Match for Chp 683,347301.26,347301.26,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,1105147.00,0.00,0.00,2023
97841.26,1104000.00,Department of Education,2644,SPECIAL EDUCATION ADMINISTRATION,203739.66,301580.92,SCHOOL SUPPORT ORGANIZATION OTPS,0.00,TEMPORARY SERVICES,1104000.00,0.00,0.00,2023
0.00,1090700.00,Department of Education,1226,WAREHOUSE AND DISTRIBUTION,0.00,0.00,SCHOOL FOOD SERVICES - OTPS,0.00,FIXED CHARGES - GENERAL,1090700.00,0.00,0.00,2023
0.00,1086222.00,Department of Education,8888,REIMBUR SUP-CENTL SCH SUP PROG & SERV,3298026.99,3298026.99,CATEGORICAL PROGRAMS - PS,0.00,SUPPLEMENTAL EMPLOYEE WELF BEN,1086222.00,0.00,0.00,2023
332831.29,1082791.00,Department of Education,4648,GE Central Managed Sch Supp,2862220.77,3195052.06,GE INSTR & SCH LEADERSHIP - OTPS,0.00,TEMPORARY SERVICES,1082791.00,0.00,0.00,2023
0.00,1162086.00,Department of Education,6102,ULIT CENTRAL,301328.11,301328.11,EARLY CHILDHOOD PROGRAMS- PS,0.00,FULL YEAR POSITIONS,1071426.00,0.00,0.00,2023
402.00,1065001.00,Department of Education,5101,CLASSRM INST & SCH SUPERVISION - CWSPED,297148.46,297550.46,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.00,DATA PROCESSING EQUIPMENT,1065001.00,0.00,0.00,2023
0.00,1058495.00,Department of Education,8870,REIMBURSEABLE SUPPORT - NPS,0.00,0.00,CATEGORICAL PROGRAMS - PS,0.00,SUPPLEMENTAL EMPLOYEE WELF BEN,1058495.00,0.00,0.00,2023
0.00,1054907.00,Department of Education,8827,PRE-K FOR THREE-YEAR-OLDS CENTRAL,150297.21,150297.21,UNIVERSAL PRE-K - PS,0.00,HEALTH INSURANCE PLAN CITY EMP,1054907.00,0.00,0.00,2023
0.00,1027841.00,Department of Education,4325,SUMMER INSTRUCTIONAL PROGRAMS - ELM/MID,145107.00,145107.00,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV DIRECT EDUC SERV,1027841.00,0.00,0.00,2023
0.00,1026778.00,Department of Education,2744,CITYWIDE ADMINISTRATION,1505188.20,1505188.20,SCHOOL SUPPORT ORGANIZATION,0.00,FULL YEAR POSITIONS,1026778.00,0.00,0.00,2023
0.00,1024095.00,Department of Education,4305,INSTRUCTIONAL SUPPORT SERV - ELEM / MID,1253628.57,1253628.57,GE INSTR & SCH LEADERSHIP - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,1024095.00,0.00,0.00,2023
0.00,1015000.00,Department of Education,1229,DIRECT FIELD OPERATIONS,919876.22,919876.22,SCHOOL FOOD SERVICES - PS,0.00,TERMINAL LEAVE,1015000.00,0.00,0.00,2023
65499.91,311841.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,954703.52,1020203.43,CATEGORICAL PROGRAMS - OTPS,0.00,PRINTING CONTRACTS,1011841.00,0.00,0.00,2023
0.00,1009393.00,Department of Education,4648,GE Central Managed Sch Supp,0.00,0.00,GE INSTR & SCH LEADERSHIP - OTPS,0.00,TUITION EXPENSES - BOE ONLY,1009393.00,0.00,0.00,2023
0.00,1008385.00,Department of Education,7215,OFFICE OF PARENT ENGAGEMENT,890118.65,890118.65,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,1008385.00,0.00,0.00,2023
0.00,1005448.00,Department of Education,7281,Office of School Health,0.00,0.00,CENTRAL ADMINISTRATION - OTPS,0.00,PROF SERV OTHER,1005448.00,0.00,0.00,2023
0.00,0.00,Department of Education,5411,RELATED SERVICES -CENTRALLY ADMINISTERED,0.00,0.00,SE INSTRUCTIONAL SUPPORT -  OTPS,0.00,DATA PROCESSING SERVICES,1002457.00,0.00,0.00,2023
0.00,1000798.00,Department of Education,6148,ULIT CENTRAL ON BEHALF OF SCHOOLS,0.00,0.00,EARLY CHILDHOOD PROGRAMS - OTPS,0.00,EDUCATION & REC FOR YOUTH PRGM,1000798.00,0.00,0.00,2023
0.00,1000001.00,Department of Education,8844,REIMBURSEABLE SUPPORT - INDIRECT COST,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,FOOD & FORAGE SUPPLIES,1000001.00,0.00,0.00,2023
0.00,0.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,811430.79,811430.79,GE INSTR & SCH LEADERSHIP - OTPS,0.00,TRANSPORTATION OF PUPILS,1000000.00,0.00,0.00,2023
0.00,0.00,Department of Education,4620,BEFORE/AFTER SCH TIME & EXTEND USE - HS,781478.04,781478.04,GE INSTR & SCH LEADERSHIP - OTPS,0.00,EQUIPMENT GENERAL,1000000.00,0.00,0.00,2023
0.00,1000000.00,Department of Education,8765,PRE-K FOR THREE-YEAR-OLDS,2457985.68,2457985.68,UNIVERSAL PRE-K - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,1000000.00,0.00,0.00,2023
0.00,0.00,Department of Education,4620,BEFORE/AFTER SCH TIME & EXTEND USE - HS,531305.20,531305.20,GE INSTR & SCH LEADERSHIP - OTPS,0.00,TRANSPORTATION OF PUPILS,1000000.00,0.00,0.00,2023
0.00,1000000.00,Department of Education,8848,REIMBUR SUPPORT-SE INSTRUCTION EL/MID/HS,784873.24,784873.24,CATEGORICAL PROGRAMS - PS,0.00,AWARDS/EXPENSES-WORKMENS COMP,1000000.00,0.00,0.00,2023
0.00,1000000.00,Department of Education,5101,CLASSRM INST & SCH SUPERVISION - CWSPED,1776699.64,1776699.64,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,TERMINAL LEAVE,1000000.00,0.00,0.00,2023
0.00,1000000.00,Department of Education,2644,SPECIAL EDUCATION ADMINISTRATION,192608.08,192608.08,SCHOOL SUPPORT ORGANIZATION,0.00,TERMINAL LEAVE,1000000.00,0.00,0.00,2023
